Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14873	3930	4751	1488	575	639	7481	6147	6771	760	805	782	3790.98	6800	782	0.115	-3.123	-34.236	6.94936634939741e-257	6.28222717985526e-253	0.0055	0.0051	0.0052	0.0052	TRUE	NA
FBgn0026562	102362	47057	59729	17982	10095	12157	51489	73600	85124	9183	14132	14880	41401.23	70071	12732	0.181	-2.464	-31.975	2.39550406072564e-224	7.21845223631993e-221	0.004	0.0044	0.0042	0.0042	TRUE	NA
FBgn0039155	2488	751	890	81	37	54	1251	1175	1268	41	52	66	642.29	1231	53	0.042	-4.589	-27.412	1.96599262536816e-165	4.44314333333203e-162	0.016	0.0088	0.0104	0.0104	TRUE	NA
FBgn0029167	10389	3806	3801	2341	934	920	5226	5953	5417	1195	1308	1126	3370.78	5532	1210	0.219	-2.191	-25.012	4.53509621940032e-138	8.19945396467577e-135	0.0047	0.0052	0.005	0.005	TRUE	NA
FBgn0035085	1893	669	784	313	131	150	952	1046	1117	160	183	184	607.12	1038	176	0.169	-2.566	-22.604	3.97346278664729e-113	5.98668393188192e-110	0	0.009	0.006	0.006	TRUE	NA
FBgn0034897	2876	961	981	722	273	263	1447	1503	1398	369	382	322	903.43	1449	358	0.247	-2.018	-19.419	5.28608354045761e-84	6.82659931510526e-81	0.0024	0.0075	0.006	0.006	TRUE	NA
FBgn0039827	765	320	330	46	14	28	385	500	470	23	20	34	238.83	452	26	0.058	-4.1	-19.235	1.89933412898056e-82	2.14624756574803e-79	0.0015	0.0163	0.0135	0.0135	TRUE	NA
FBgn0029896	1628	530	500	303	100	114	819	829	713	155	140	140	465.78	787	145	0.184	-2.439	-18.679	7.31908428520088e-78	7.35161354869067e-75	0	0.0105	0.0081	0.0081	TRUE	NA
FBgn0023479	9560	3082	2975	2993	1142	1169	4809	4820	4240	1528	1599	1431	3071.17	4623	1519	0.328	-1.606	-18.499	2.12215512865309e-76	1.91842823630239e-73	0.0045	0.0052	0.005	0.005	TRUE	NA
FBgn0261552	22562	5910	5178	6777	1604	1698	11349	9244	7379	3461	2245	2078	5959.42	9324	2595	0.275	-1.864	-18.054	7.31852092736663e-73	5.51328576528286e-70	0.0121	0.0048	0.0074	0.0074	TRUE	NA
FBgn0259715	2276	878	1073	487	292	283	1145	1373	1529	249	409	346	841.86	1349	335	0.244	-2.037	-17.654	9.45727204233504e-70	6.57644148174683e-67	0.0076	0.0077	0.0077	0.0077	TRUE	NA
FBgn0034736	711	282	257	51	25	28	358	441	366	26	35	34	210.05	388	32	0.08	-3.641	-17.246	1.19962445822469e-66	7.74614650167944e-64	0.0092	0.018	0.0154	0.0154	TRUE	NA
FBgn0027279	8236	2595	2630	3503	1241	1376	4143	4059	3748	1789	1737	1684	2860.01	3983	1737	0.436	-1.198	-16.272	1.56401078727171e-59	9.42577167795748e-57	9e-04	0.0053	0.0035	0.0035	TRUE	NA
FBgn0035147	39841	16851	20878	17859	9306	10816	20040	26356	29755	9120	13028	13239	18589.52	25384	11796	0.464	-1.109	-15.503	3.33119077322955e-54	1.88212278687469e-51	0.0025	0.0045	0.0036	0.0036	TRUE	NA
FBgn0040099	2991	782	938	944	219	266	1505	1223	1337	482	307	326	863.1	1355	372	0.272	-1.876	-15.459	6.55369479899938e-54	3.48502358723261e-51	0	0.0076	0.0087	0.0087	TRUE	NA
FBgn0038832	852	252	287	129	52	65	429	394	409	66	73	80	241.66	411	73	0.174	-2.52	-15.063	2.82606179558345e-51	1.27737993160372e-48	0	0.0162	0.0121	0.0121	TRUE	NA
FBgn0036821	1441	498	456	381	112	147	725	779	650	195	157	180	447.48	718	177	0.248	-2.009	-14.768	2.36192829789254e-49	1.01675389585469e-46	0.0074	0.0107	0.0097	0.0097	TRUE	NA
FBgn0039419	4971	1563	1581	2239	738	848	2500	2445	2253	1143	1033	1038	1735.45	2399	1071	0.447	-1.162	-14.505	1.13015269755693e-47	4.25690849413109e-45	0	0.006	0.0039	0.0039	TRUE	NA
FBgn0053307	3603	741	985	1274	301	375	1812	1159	1404	651	421	459	984.34	1458	510	0.349	-1.517	-14.031	1.00807489425994e-44	3.64519881764394e-42	0.0064	0.0072	0.0069	0.0069	TRUE	NA
FBgn0033913	13201	4464	4494	5352	2320	2609	6640	6982	6405	2733	3248	3193	4866.85	6676	3058	0.456	-1.132	-13.983	1.97042463282119e-44	6.59727358544578e-42	0.0039	0.0049	0.0045	0.0045	TRUE	NA
FBgn0043364	4456	904	974	1685	412	512	2241	1414	1388	860	577	627	1184.56	1681	688	0.412	-1.28	-13.984	1.95531432678812e-44	6.59727358544578e-42	0.0018	0.0067	0.0049	0.0049	TRUE	NA
FBgn0283658	3015	1221	1307	1356	599	719	1517	1910	1863	692	839	880	1283.34	1763	804	0.456	-1.133	-13.865	1.03876943081125e-43	3.35374130519061e-41	0	0.0065	0.0039	0.0039	TRUE	NA
FBgn0040091	2712	898	1208	997	387	414	1364	1405	1722	509	542	507	1007.99	1497	519	0.348	-1.522	-13.709	8.9175466835259e-43	2.68715406730247e-40	0.0082	0.0072	0.0075	0.0075	TRUE	NA
FBgn0037754	872	235	224	179	54	62	439	368	319	91	76	76	228.05	375	81	0.215	-2.215	-13.326	1.63567948083552e-40	4.76985242153325e-38	0.0014	0.0169	0.0122	0.0122	TRUE	NA
FBgn0036985	6750	1660	1728	1962	768	824	3395	2596	2463	1002	1075	1009	1923.33	2818	1029	0.367	-1.447	-12.902	4.35820077116236e-38	1.1587686756267e-35	0.0131	0.0058	0.0083	0.0083	TRUE	NA
FBgn0000406	787	261	384	166	60	96	396	408	547	85	84	118	272.94	450	96	0.213	-2.234	-12.343	5.30378859011151e-35	1.229390996272e-32	0.024	0.0148	0.0172	0.0172	TRUE	NA
FBgn0022160	3024	1334	1370	1343	716	827	1521	2086	1952	686	1002	1012	1376.74	1853	900	0.481	-1.055	-12.344	5.27066493147638e-35	1.229390996272e-32	0.0014	0.0064	0.0044	0.0044	TRUE	NA
FBgn0034010	1604	488	609	633	206	226	807	763	868	323	288	277	554.38	813	296	0.366	-1.45	-12.213	2.66079934500482e-34	6.01340651971089e-32	0.0041	0.0095	0.0078	0.0078	TRUE	NA
FBgn0264753	353	130	146	45	11	19	178	203	208	23	15	23	108.43	196	20	0.109	-3.199	-12.072	1.48852545855962e-33	3.28201710862901e-31	0.0101	0.0308	0.0254	0.0254	TRUE	NA
FBgn0031805	7500	2761	2967	3399	1608	1904	3773	4318	4228	1736	2251	2330	3106.11	4106	2106	0.509	-0.975	-12.01	3.15915145099594e-33	6.79969740881031e-31	0	0.0052	0.0044	0.0044	TRUE	NA
FBgn0261596	46323	12868	17152	18483	7647	8915	23301	20126	24444	9439	10705	10912	16487.87	22624	10352	0.457	-1.131	-11.849	2.17101926458096e-32	4.46045776177543e-30	0.0096	0.0045	0.0065	0.0065	TRUE	NA
FBgn0261800	94028	30240	31297	53592	20033	20899	47297	47297	44603	27368	28044	25580	36698.26	46399	26997	0.582	-0.781	-11.511	1.15466049093923e-30	2.22087890172141e-28	0.002	0.0044	0.0033	0.0033	TRUE	NA
FBgn0040827	720	189	192	189	42	57	362	296	274	97	59	70	192.75	311	75	0.243	-2.04	-11.507	1.21638436692595e-30	2.29085722437721e-28	0.0017	0.0192	0.0141	0.0141	TRUE	NA
FBgn0052521	7542	2796	2700	3949	1622	1764	3794	4373	3848	2017	2271	2159	3076.86	4005	2149	0.536	-0.899	-11.206	3.80851069497932e-29	7.02631360869655e-27	0.0027	0.0052	0.0043	0.0043	TRUE	NA
FBgn0052407	573	170	189	151	38	49	288	266	269	77	53	60	168.96	274	63	0.234	-2.095	-11.119	1.01282280210927e-28	1.83118362621356e-26	0	0.0213	0.0158	0.0158	TRUE	NA
FBgn0050147	2420	792	897	1189	449	546	1217	1239	1278	607	629	668	939.74	1245	635	0.509	-0.974	-10.849	2.0143160147135e-27	3.50181091788655e-25	0	0.0074	0.0046	0.0046	TRUE	NA
FBgn0036576	6041	1985	1734	2282	894	1100	3039	3105	2471	1165	1252	1346	2062.97	2872	1254	0.436	-1.198	-10.743	6.3962309889074e-27	1.0513077843586e-24	0.0141	0.0057	0.0084	0.0084	TRUE	NA
FBgn0026721	8761	3238	4048	4805	2217	2447	4407	5064	5769	2454	3104	2995	3965.47	5080	2851	0.561	-0.835	-10.689	1.14953092197523e-26	1.85567134547429e-24	0.0028	0.005	0.0041	0.0041	TRUE	NA
FBgn0036373	10171	3942	3654	3739	2045	2273	5116	6166	5208	1909	2863	2782	4007.25	5497	2518	0.451	-1.149	-10.664	1.50160876475071e-26	2.340438488508e-24	0.0137	0.005	0.0081	0.0081	TRUE	NA
FBgn0039109	1225	413	415	506	169	217	616	646	591	258	237	266	435.7	618	254	0.412	-1.281	-10.631	2.1446121898971e-26	3.23121569944497e-24	0	0.0109	0.0076	0.0076	TRUE	NA
FBgn0023549	632	217	236	178	79	91	318	339	336	91	111	111	217.75	331	104	0.311	-1.685	-10.627	2.23693841020378e-26	3.31506938167904e-24	0	0.0175	0.0117	0.0117	TRUE	NA
FBgn0030041	288	93	117	41	10	15	145	145	167	21	14	18	85.06	152	18	0.121	-3.048	-10.621	2.38206676084993e-26	3.41807674890212e-24	0.0017	0.038	0.0297	0.0297	TRUE	NA
FBgn0001137	1152	378	462	487	159	205	579	591	658	249	223	251	425.22	609	241	0.398	-1.33	-10.539	5.7111468760614e-26	8.06699496243672e-24	0.0028	0.0111	0.0085	0.0085	TRUE	NA
FBgn0063649	1708	598	525	716	247	278	859	935	748	366	346	340	599.06	847	351	0.414	-1.271	-10.488	9.81327084340496e-26	1.36479951422124e-23	0.0072	0.0091	0.0085	0.0085	TRUE	NA
FBgn0051523	12626	3373	3442	7626	2164	2309	6351	5276	4905	3894	3029	2826	4380.32	5511	3250	0.588	-0.766	-10.376	3.18383878926695e-25	4.11170037928189e-23	0.0017	0.005	0.0036	0.0036	TRUE	NA
FBgn0026376	4376	1257	1092	1995	589	687	2201	1966	1556	1019	825	841	1401.28	1908	895	0.469	-1.091	-10.345	4.40854025519989e-25	5.61312731084605e-23	0.0085	0.0064	0.0071	0.0071	TRUE	NA
FBgn0016715	488	144	169	85	42	52	245	225	241	43	59	64	146.23	237	55	0.225	-2.149	-10.193	2.12113881253513e-24	2.62672532401611e-22	0	0.0239	0.0207	0.0207	TRUE	NA
FBgn0024288	201	73	73	7	6	4	101	114	104	4	8	5	56.03	106	6	0.048	-4.374	-9.936	2.89588860239201e-23	3.39984843709399e-21	1e-04	0.0555	0.0442	0.0442	TRUE	NA
FBgn0261015	2965	897	873	1323	495	580	1491	1403	1244	676	693	710	1036.17	1379	693	0.501	-0.998	-9.911	3.73273652462917e-23	4.32614592085227e-21	0.0045	0.0071	0.0061	0.0061	TRUE	NA
FBgn0261584	481	140	152	133	42	39	242	219	217	68	59	48	142	226	58	0.259	-1.95	-9.826	8.6696305967817e-23	9.67573587591439e-21	0	0.0245	0.0174	0.0174	TRUE	NA
FBgn0262057	1977	566	663	1000	319	392	994	885	945	511	447	480	710.27	941	479	0.509	-0.974	-9.822	9.07754305776065e-23	1.00074377124581e-20	0	0.0084	0.0054	0.0054	TRUE	NA
FBgn0031449	2309	788	824	1185	459	558	1161	1232	1174	605	643	683	916.49	1189	644	0.54	-0.889	-9.703	2.92555405003271e-22	3.14845340622568e-20	0	0.0074	0.0048	0.0048	TRUE	NA
FBgn0029766	47920	16519	18369	24424	10864	13765	24104	25837	26179	12472	15209	16848	20108.17	25373	14843	0.581	-0.783	-9.612	7.09233432737833e-22	7.45519794412792e-20	0.0051	0.0045	0.0047	0.0047	TRUE	NA
FBgn0000079	764	394	388	263	151	218	384	616	553	134	211	267	361	518	204	0.387	-1.368	-9.561	1.16883177561487e-21	1.21451025879982e-19	0.0088	0.0123	0.0113	0.0113	TRUE	NA
FBgn0043841	38223	11088	13878	21854	7720	9558	19227	17342	19778	11160	10807	11699	15002.25	18782	11222	0.597	-0.743	-9.523	1.67816969326354e-21	1.72393795762528e-19	0.0041	0.0045	0.0043	0.0043	TRUE	NA
FBgn0027580	2647	1208	1173	1430	695	831	1331	1889	1672	730	973	1017	1268.81	1631	907	0.555	-0.848	-9.494	2.22343967286685e-21	2.25841512839509e-19	0.002	0.0066	0.0049	0.0049	TRUE	NA
FBgn0085359	266	48	85	11	2	1	134	75	121	6	3	1	56.61	110	3	0.031	-5.001	-9.425	4.30523985706825e-21	4.324374256433e-19	0.1054	0.055	0.0664	0.0664	TRUE	NA
FBgn0037239	1883	603	709	975	384	420	947	943	1010	498	538	514	741.71	967	517	0.533	-0.907	-9.373	7.02957341854034e-21	6.9832245828137e-19	0	0.0082	0.0052	0.0052	TRUE	NA
FBgn0034638	3778	1358	1664	2111	821	1068	1900	2124	2371	1078	1149	1307	1655.07	2132	1178	0.554	-0.852	-9.371	7.15423417001871e-21	7.02981270619229e-19	0.0039	0.006	0.0053	0.0053	TRUE	NA
FBgn0031322	1036	346	439	303	137	215	521	541	626	155	192	263	382.93	563	203	0.354	-1.497	-9.35	8.77426610299521e-21	8.43823037990178e-19	0.0232	0.0118	0.015	0.015	TRUE	NA
FBgn0032004	2014	724	864	1113	358	459	1013	1132	1231	568	501	562	834.69	1125	544	0.487	-1.037	-9.231	2.66934646257112e-20	2.43746384056999e-18	0.0075	0.0077	0.0077	0.0077	TRUE	NA
FBgn0036684	2595	849	817	1347	497	555	1305	1328	1164	688	696	679	976.75	1266	688	0.543	-0.882	-9.222	2.92957241928677e-20	2.64833346703524e-18	0.0021	0.0072	0.0054	0.0054	TRUE	NA
FBgn0035542	1784	591	515	758	257	331	897	924	734	387	360	405	617.95	852	384	0.451	-1.15	-9.217	3.04219151467559e-20	2.72291200917499e-18	0.009	0.009	0.0092	0.0092	TRUE	NA
FBgn0040388	3503	1183	1091	1857	679	745	1762	1850	1555	948	951	912	1329.65	1722	937	0.544	-0.879	-9.157	5.33533254829131e-20	4.68266079966538e-18	0.0045	0.0065	0.0058	0.0058	TRUE	NA
FBgn0039257	1638	474	473	688	247	307	824	741	674	351	346	376	552.05	746	358	0.477	-1.068	-9.044	1.50379450865445e-19	1.28248135455059e-17	0.0047	0.0095	0.0079	0.0079	TRUE	NA
FBgn0031359	1680	569	571	873	329	366	845	890	814	446	461	448	650.52	850	452	0.531	-0.913	-8.983	2.62492607561311e-19	2.17700291041674e-17	0	0.0087	0.0057	0.0057	TRUE	NA
FBgn0040813	192196	26608	41555	87154	18322	18635	96676	41616	59223	44506	25649	22809	48413.37	65838	30988	0.474	-1.078	-8.95	3.5495122742759e-19	2.91705372358674e-17	0.0229	0.0044	0.0104	0.0104	TRUE	NA
FBgn0024315	247	89	92	48	15	23	124	139	131	25	21	28	78.04	131	25	0.189	-2.404	-8.912	5.02455356262773e-19	4.09206884740132e-17	0	0.0411	0.0289	0.0289	TRUE	NA
FBgn0030237	5803	1538	2031	3161	913	1222	2919	2406	2895	1614	1278	1496	2101.17	2740	1463	0.534	-0.906	-8.862	7.86881977400583e-19	6.35126167473327e-17	0.0088	0.0057	0.007	0.007	TRUE	NA
FBgn0034389	390	127	102	86	25	37	196	199	145	44	35	45	110.73	180	41	0.23	-2.118	-8.854	8.41136477930744e-19	6.67006470218765e-17	0.0152	0.0302	0.0262	0.0262	TRUE	NA
FBgn0033504	5236	1908	1753	2949	1099	1311	2634	2984	2498	1506	1539	1605	2127.57	2705	1550	0.573	-0.803	-8.836	9.92603468397465e-19	7.80272639505486e-17	0.0046	0.0057	0.0054	0.0054	TRUE	NA
FBgn0027596	1932	741	694	975	421	418	972	1159	989	498	589	512	786.46	1040	533	0.512	-0.965	-8.811	1.23644522100737e-18	9.47242779483614e-17	0.0053	0.008	0.0072	0.0072	TRUE	NA
FBgn0036896	1768	556	525	903	293	346	889	870	748	461	410	424	633.66	836	432	0.517	-0.952	-8.781	1.61792510555145e-18	1.22907923984749e-16	0.0022	0.0088	0.0066	0.0066	TRUE	NA
FBgn0029092	20131	5992	7014	13500	4603	5432	10126	9372	9996	6894	6444	6649	8246.75	9831	6662	0.678	-0.561	-8.714	2.93216088313306e-18	2.19063920524982e-16	6e-04	0.0047	0.0029	0.0029	TRUE	NA
FBgn0051038	1615	692	633	796	382	402	812	1082	902	406	535	492	705.02	932	478	0.511	-0.968	-8.689	3.65533540344318e-18	2.70854361042019e-16	0.0056	0.0084	0.0073	0.0073	TRUE	NA
FBgn0030529	25183	6896	7404	15596	5144	6149	12667	10786	10552	7964	7201	7526	9449.45	11335	7564	0.669	-0.581	-8.667	4.42302760109381e-18	3.22720611392902e-16	0.0013	0.0046	0.0031	0.0031	TRUE	NA
FBgn0039714	5083	1860	2161	3360	1259	1425	2557	2909	3080	1716	1762	1744	2294.7	2849	1741	0.614	-0.703	-8.667	4.42669865184954e-18	3.22720611392902e-16	0.0024	0.0056	0.0043	0.0043	TRUE	NA
FBgn0029801	4112	1216	1195	1974	736	898	2068	1902	1703	1008	1030	1099	1468.48	1891	1046	0.552	-0.857	-8.647	5.29016625022449e-18	3.82584823216235e-16	0.0063	0.0063	0.0063	0.0063	TRUE	NA
FBgn0051431	5272	1754	1972	3448	1149	1421	2652	2743	2810	1761	1608	1739	2219.03	2735	1703	0.624	-0.68	-8.601	7.87305042957863e-18	5.56034186588991e-16	0.0013	0.0056	0.004	0.004	TRUE	NA
FBgn0051337	2492	732	1012	1099	407	574	1253	1145	1442	561	570	703	945.7	1280	611	0.476	-1.071	-8.585	9.1028147036308e-18	6.37902673804825e-16	0.0154	0.0073	0.0099	0.0099	TRUE	NA
FBgn0046874	2181	712	642	1030	394	436	1097	1114	915	526	552	534	789.47	1042	537	0.514	-0.96	-8.578	9.67931750053001e-18	6.73084847729164e-16	0.0067	0.0079	0.0075	0.0075	TRUE	NA
FBgn0040398	8592	3111	4028	4713	2230	2729	4322	4866	5741	2407	3122	3340	3966.17	4976	2956	0.591	-0.759	-8.563	1.09599016851947e-17	7.5631687965008e-16	0.0051	0.005	0.0054	0.0054	TRUE	NA
FBgn0036732	6047	2084	2075	3785	1397	1644	3042	3259	2957	1933	1956	2012	2526.53	3086	1967	0.637	-0.65	-8.539	1.35498684237309e-17	9.24429660122991e-16	0.0012	0.0054	0.0037	0.0037	TRUE	NA
FBgn0262579	13799	4560	4404	8524	3126	3486	6941	7132	6276	4353	4376	4267	5557.57	6783	4332	0.639	-0.647	-8.538	1.36005691146413e-17	9.24429660122991e-16	0.0026	0.0048	0.0039	0.0039	TRUE	NA
FBgn0261560	5318	1277	1597	2279	832	1053	2675	1997	2276	1164	1165	1289	1760.95	2316	1206	0.521	-0.939	-8.429	3.48101374560492e-17	2.28031625074409e-15	0.0126	0.0059	0.0083	0.0083	TRUE	NA
FBgn0265512	252	80	81	57	16	17	127	125	115	29	22	21	73.27	122	24	0.2	-2.321	-8.361	6.24462512651562e-17	4.00364618040434e-15	0	0.0435	0.0311	0.0311	TRUE	NA
FBgn0263873	2169	776	698	1061	430	393	1091	1214	995	542	602	481	820.72	1100	542	0.492	-1.022	-8.352	6.73638897067797e-17	4.28851804893865e-15	0.0121	0.0078	0.0093	0.0093	TRUE	NA
FBgn0031703	273	93	106	73	25	28	137	145	151	37	35	34	90.07	144	35	0.249	-2.007	-8.333	7.89463612475328e-17	4.99073500473914e-15	0	0.0362	0.0245	0.0245	TRUE	NA
FBgn0028542	2059	932	1293	1068	608	742	1036	1458	1843	545	851	908	1106.81	1446	768	0.531	-0.914	-8.331	8.01719568668494e-17	5.01209543063661e-15	0.009	0.0069	0.0076	0.0076	TRUE	NA
FBgn0002868	392	73	91	86	21	27	197	114	130	44	29	33	91.23	147	35	0.241	-2.054	-8.329	8.18273156106767e-17	5.06656803507204e-15	0.0017	0.0358	0.0255	0.0255	TRUE	NA
FBgn0063498	812	270	263	376	100	136	408	422	375	192	140	166	284	402	166	0.417	-1.263	-8.311	9.52349394769131e-17	5.81705305994118e-15	0.006	0.0144	0.0122	0.0122	TRUE	NA
FBgn0039613	8007	2071	2450	5267	1549	1838	4028	3239	3492	2690	2168	2250	2977.71	3586	2369	0.66	-0.599	-8.267	1.378635714597e-16	8.3085779066379e-15	9e-04	0.0053	0.0034	0.0034	TRUE	NA
FBgn0032775	5845	2465	2719	4033	1720	1885	2940	3855	3875	2060	2408	2307	2907.52	3557	2258	0.64	-0.644	-8.253	1.54170643226576e-16	9.22981864084934e-15	0.0022	0.0053	0.004	0.004	TRUE	NA
FBgn0086450	10857	4890	4941	7203	3612	3991	5461	7648	7042	3678	5056	4885	5628.48	6717	4540	0.676	-0.566	-8.251	1.56832892904647e-16	9.26646635201313e-15	0.0011	0.0048	0.0032	0.0032	TRUE	NA
FBgn0086365	8419	2822	3034	5602	2204	2398	4235	4414	4324	2861	3085	2935	3642.3	4324	2960	0.684	-0.548	-8.144	3.81271458908966e-16	2.15418374283566e-14	0	0.0051	0.003	0.003	TRUE	NA
FBgn0004369	2171	778	728	1261	437	505	1092	1217	1038	644	612	618	870.04	1116	625	0.562	-0.832	-8.121	4.60671794363911e-16	2.58662920562096e-14	0.0037	0.0076	0.0062	0.0062	TRUE	NA
FBgn0032036	16353	5914	6392	11868	4455	5064	8226	9250	9110	6061	6237	6198	7513.44	8862	6165	0.697	-0.521	-8.039	9.03932441032897e-16	4.98265199203499e-14	8e-04	0.0047	0.0029	0.0029	TRUE	NA
FBgn0013272	31971	9820	10697	22792	8018	8963	16082	15359	15245	11639	11224	10971	13419.99	15562	11278	0.725	-0.465	-8.037	9.23197168209617e-16	5.05800145491814e-14	0	0.0045	0.0023	0.0023	TRUE	NA
FBgn0013763	54626	21918	28900	35135	15878	19126	27477	34281	41187	17942	22228	23410	27754.28	34315	21193	0.62	-0.689	-8.001	1.2323587244264e-15	6.67097177773333e-14	0.0067	0.0044	0.0053	0.0053	TRUE	NA
FBgn0011722	25941	10588	11028	16584	8310	8611	13049	16560	15717	8469	11633	10540	12661.24	15109	10214	0.674	-0.569	-7.992	1.32747677960522e-15	7.14308933787569e-14	0.0021	0.0045	0.0036	0.0036	TRUE	NA
FBgn0036663	14613	6561	6628	10204	4482	4821	7350	10262	9446	5211	6274	5901	7407.39	9019	5795	0.647	-0.628	-7.985	1.40412516620805e-15	7.51082337427264e-14	0.0037	0.0047	0.0043	0.0043	TRUE	NA
FBgn0033782	483	155	180	141	59	89	243	242	257	72	83	109	167.57	247	88	0.349	-1.52	-7.964	1.66284335350206e-15	8.84241406803446e-14	0.009	0.0214	0.0184	0.0184	TRUE	NA
FBgn0040752	12928	5157	4082	6703	2729	2865	6503	8066	5818	3423	3820	3507	5189.39	6796	3583	0.527	-0.923	-7.951	1.84403709264664e-15	9.74859375293896e-14	0.0187	0.0049	0.0095	0.0095	TRUE	NA
FBgn0032400	1543	309	347	728	173	228	776	483	495	372	242	279	441.16	585	298	0.511	-0.968	-7.936	2.09610101312673e-15	1.10167169527126e-13	0.0017	0.0108	0.0079	0.0079	TRUE	NA
FBgn0003525	3877	1006	1061	2002	686	818	1950	1573	1512	1022	960	1001	1336.6	1678	994	0.593	-0.753	-7.928	2.22642811445348e-15	1.16340521125199e-13	0.0043	0.0065	0.0056	0.0056	TRUE	NA
FBgn0028473	47812	17236	21092	28728	13543	16307	24050	26958	30060	14670	18959	19960	22442.75	27023	17863	0.657	-0.605	-7.923	2.32257952450137e-15	1.20667350008577e-13	0.0038	0.0044	0.0042	0.0042	TRUE	NA
FBgn0028514	1690	449	441	876	275	269	850	702	628	447	385	329	557.07	727	387	0.532	-0.91	-7.906	2.65819653711147e-15	1.3731483825993e-13	0.0023	0.0095	0.0074	0.0074	TRUE	NA
FBgn0028990	3132	1060	1333	1578	753	919	1575	1658	1900	806	1054	1125	1352.98	1711	995	0.575	-0.798	-7.898	2.82637892055633e-15	1.45173099101302e-13	0.0067	0.0064	0.0065	0.0065	TRUE	NA
FBgn0010591	3422	1220	1423	2114	929	1061	1721	1908	2028	1080	1301	1299	1556.03	1886	1227	0.648	-0.626	-7.886	3.11991883130405e-15	1.58449810308925e-13	0	0.0062	0.0038	0.0038	TRUE	NA
FBgn0031313	2823	1250	1407	1906	865	985	1420	1955	2005	973	1211	1206	1461.69	1793	1130	0.636	-0.653	-7.863	3.76428547723605e-15	1.90106931364323e-13	0.0012	0.0063	0.0042	0.0042	TRUE	NA
FBgn0013811	790	335	339	400	181	208	397	524	483	204	253	255	352.78	468	237	0.508	-0.976	-7.839	4.52892752609371e-15	2.26196159314293e-13	0	0.0124	0.0079	0.0079	TRUE	NA
FBgn0031261	5260	2200	2627	2825	1630	1985	2646	3441	3744	1443	2282	2430	2664.13	3277	2052	0.616	-0.7	-7.821	5.22100548619692e-15	2.57911965001203e-13	0.0053	0.0054	0.0054	0.0054	TRUE	NA
FBgn0044047	1566	387	410	841	239	276	788	605	584	429	335	338	513.2	659	367	0.557	-0.844	-7.812	5.64472796021197e-15	2.75828868974682e-13	0	0.0099	0.0061	0.0061	TRUE	NA
FBgn0010225	29935	9558	11425	21227	7660	8438	15058	14949	16282	10840	10723	10328	13030.1	15430	10630	0.689	-0.537	-7.792	6.60498001131941e-15	3.21016232808212e-13	0.0019	0.0045	0.0033	0.0033	TRUE	NA
FBgn0050069	9628	2278	1720	4508	1154	1149	4843	3563	2451	2302	1615	1406	2696.85	3619	1774	0.493	-1.02	-7.785	6.98837674193267e-15	3.37833827524446e-13	0.026	0.0054	0.0119	0.0119	TRUE	NA
FBgn0033426	976	287	354	461	157	212	491	449	505	235	220	259	359.84	482	238	0.494	-1.017	-7.683	1.55313935121497e-14	7.35098415444153e-13	0.0018	0.0123	0.0094	0.0094	TRUE	NA
FBgn0005593	67442	25860	34425	40607	20162	24092	33924	40446	49061	20737	28225	29488	33646.95	41144	26150	0.633	-0.659	-7.631	2.32757586482323e-14	1.09022206310891e-12	0.0077	0.0044	0.0053	0.0053	TRUE	NA
FBgn0045852	5575	1757	1747	3023	1275	1293	2804	2748	2490	1544	1785	1583	2158.89	2681	1637	0.609	-0.716	-7.625	2.44538305931212e-14	1.13949808537018e-12	0.0061	0.0056	0.0058	0.0058	TRUE	NA
FBgn0259749	3039	1099	1275	1685	811	966	1529	1719	1817	860	1135	1182	1373.8	1688	1059	0.621	-0.687	-7.57	3.72717366251948e-14	1.71033755884143e-12	0	0.0064	0.0051	0.0051	TRUE	NA
FBgn0053516	1876	601	549	960	358	405	944	940	782	490	501	496	692.2	889	496	0.556	-0.846	-7.521	5.44376428438643e-14	2.47294618748007e-12	0.0055	0.0085	0.0074	0.0074	TRUE	NA
FBgn0260745	12767	4635	5282	7855	3752	4345	6422	7249	7528	4011	5252	5318	5963.5	7066	4860	0.683	-0.55	-7.51	5.89682731105877e-14	2.66536594459857e-12	0.0022	0.0048	0.0037	0.0037	TRUE	NA
FBgn0039809	1474	452	566	874	241	318	741	707	807	446	337	389	571.33	752	391	0.522	-0.937	-7.391	1.4578250854017e-13	6.39744600584045e-12	0.0099	0.0093	0.0095	0.0095	TRUE	NA
FBgn0004893	1125	425	409	632	234	282	566	665	583	323	328	345	468.16	605	332	0.551	-0.859	-7.334	2.23435022824543e-13	9.66436653748264e-12	0.0012	0.0104	0.0075	0.0075	TRUE	NA
FBgn0000567	677	261	232	338	108	108	341	408	331	173	151	132	255.9	360	152	0.427	-1.229	-7.32	2.48410470735441e-13	1.06341401746297e-11	0.0153	0.0155	0.0154	0.0154	TRUE	NA
